time,visible_satellites,best_satellite,best_alt,best_az,best_distance
2025-05-23 06:31:19,26,STARLINK-3730,71.41386182346851,72.53364897108109,567.4962832539228
2025-05-23 06:32:19,31,STARLINK-30504,81.33814862659014,125.73022236920103,493.4980379012601
2025-05-23 06:33:19,32,STARLINK-30368,74.45664894431206,280.2444954620813,579.0445909533967
2025-05-23 06:34:19,31,STARLINK-33644,86.12297619815517,313.5840955974315,444.86509856025435
2025-05-23 06:35:19,32,STARLINK-6236,78.01289829548455,215.52595437192358,570.8447497207904
2025-05-23 06:36:19,24,STARLINK-3122,74.47825967517447,119.26300183697259,558.9752907472433
2025-05-23 06:37:19,27,STARLINK-31079,63.83860985705083,187.34161255742364,615.1334179584607
2025-05-23 06:38:19,31,STARLINK-30365,69.0239329388852,262.33705395558366,595.626556606942
2025-05-23 06:39:19,26,STARLINK-30365,59.266448194777,157.95805395303836,641.4453174072576
2025-05-23 06:40:19,28,STARLINK-3154,88.80055003263206,214.4579326392929,540.3051022002359
